ticker,company_name,sector,industry,country,market_cap,total_esg_score,environment_score,social_score,governance_score,controversy_level,environment_pillar_score,social_pillar_score,governance_pillar_score,carbon_emissions,water_usage,waste_generation,employee_turnover,diversity_score,board_independence,controversy_score,co2_emissions_per_capita,renewable_energy_pct,forest_area_pct,corruption_index,human_development_index
TMO,Thermo Fisher Scientific,Healthcare,Pharmaceuticals,Japan,14453041363690.047,59.558301486042865,59.32327134184326,60.49582211400789,58.85581100227746,2,56.1617850802337,82.58027024182871,95.0,23719395.445174173,273143.92958155886,64028.248609346316,13.322142879279708,69.40604614994103,59.77028052009761,3,8.7,7.6,68.5,73,0.925
PG,Procter & Gamble,Consumer Goods,Retail,United States,70273200447572.06,68.32739053259046,60.730409368477346,73.6910544276255,70.56070780166853,1,72.77951207814424,58.56244055631868,72.71957221998271,25970855.366258115,75567.259675617,29644.833966511767,11.715079854941685,46.677281301048694,68.80165429771698,1,15.2,12.6,33.9,67,0.926
KO,Coca-Cola Company,Consumer Goods,Retail,Canada,62398271238226.09,63.97580650076002,58.65872813896717,54.88660844938184,78.38208291393104,1,46.94133060695301,71.96112239185337,64.48868809085467,703961.2932270536,287434.59176978876,4534.665574088593,14.052251192814108,81.26786771168686,72.55165019278564,0,15.4,18.9,38.7,77,0.936
WMT,Walmart Inc.,Consumer Goods,Apparel,Canada,7661874583343.522,60.40707103718304,70.82455328133126,37.23186915211429,73.16479067810354,0,49.90356104150178,81.32528354427572,65.75609870601232,7934195.950518768,84818.10899501118,6010.2808055204705,,88.15208179660227,62.75641009718072,2,15.4,18.9,38.7,77,0.936
HD,Home Depot,Consumer Goods,Food & Beverage,India,152822540312588.56,59.00842167247665,57.067645616585736,63.864195440613344,56.09342396023087,0,59.58890646805245,51.755537264715294,66.95240551239145,682546.3201178256,,26006.174101066386,9.46544448095476,50.96728905456874,,1,1.9,9.8,24.1,40,0.645
NKE,Nike Inc.,Consumer Goods,Apparel,United States,115383981199747.84,70.78647294600138,65.6123076668672,69.29818390400948,77.44892726712747,0,80.97799254000763,68.71789070509145,59.18899708733433,782996.1590460896,354060.7292935992,34964.40438880497,4.24798473034947,,84.1060778166312,2,15.2,12.6,33.9,67,0.926
COST,Costco Wholesale,Consumer Goods,Apparel,China,82129747130231.47,69.72568052020755,66.26157497797331,76.25681608441731,66.65865049823203,1,47.63628836349791,63.21663190388474,70.29598506874426,3619442.8859594306,11436.849289194013,81695.85985702935,,59.713545370925765,60.7622978481798,2,7.4,12.4,23.0,42,0.768
XOM,Exxon Mobil,Energy,Renewable Energy,South Korea,65915826396186.36,49.13900584191753,,49.06090903655412,64.07202342142773,2,77.65724569593333,57.18994753526181,85.80100581464242,3971353.5382234016,94042.68733756887,13946.091614832043,21.01166941775172,66.9763599047228,73.67307860496884,0,12.3,2.7,63.9,62,0.925
CVX,Chevron Corporation,Energy,Utilities,Canada,16930505094547.684,56.720309297251426,36.81900011302878,67.44092430166495,65.90100347706056,2,67.26906110946413,77.52967696247681,75.55277603830496,1732631.3183441581,265187.4840476795,65545.51929038315,22.611639283259166,58.33026881577771,83.9359505140892,0,15.4,18.9,38.7,77,0.936
COP,ConocoPhillips,Energy,Energy Equipment,United States,5439231828021.952,52.89491172434813,48.317003194138266,48.93214720700152,61.43558477190459,4,64.38548541565149,67.72976409868117,69.4877164336178,547472.4804508543,230470.88275560035,36008.05342320418,8.955153898600138,61.678101966478785,87.74792612108537,2,15.2,12.6,33.9,67,0.926
SLB,Schlumberger,Energy,Oil & Gas,United Kingdom,134796768543245.23,52.4924922636991,36.688811669700044,50.058436628429845,70.73022849296741,0,38.587789374137174,55.95839378497031,63.02918946695364,3041414.35134083,185390.00140398944,11840.207783601367,23.57166261180427,50.598398181895604,69.00227338763683,0,5.4,13.8,13.1,77,0.932
EOG,EOG Resources,Energy,Energy Equipment,United Kingdom,30217841200408.977,57.5139738702062,45.26754774378521,54.34484496342006,72.92952890341333,3,62.702303534808394,51.45615117288874,82.99744451289848,8241491.795803642,235628.02856656216,7059.3403249154235,15.931836340953694,64.65960025693045,73.1403315165011,1,5.4,13.8,13.1,77,0.932
OXY,Occidental Petroleum,Energy,Oil & Gas,South Korea,41460055130783.49,63.12431210939912,,,71.14744855992339,4,70.54691342077679,50.15452648385319,65.6827277966091,4191039.5489649065,33633.63942574315,1827.908669332604,9.849201031499105,57.06054831652255,59.657359200023656,1,12.3,2.7,63.9,62,0.925
BA,Boeing Company,Industrials,Aerospace,United States,29233315051023.883,69.17778974532091,73.38821473374074,70.0134998070008,64.13165469522121,1,58.51320972679263,80.14547359770488,64.87328135363977,4176011.6339890594,296531.0115606398,90957.42701065852,14.236518672055244,44.48658643264491,59.64998652405422,2,15.2,12.6,33.9,67,0.926
CAT,Caterpillar Inc.,Industrials,Manufacturing,United Kingdom,7104564004550.726,69.53827569089727,69.47402441530929,63.44077194125483,75.70003071612769,1,54.98267820672114,63.73177171850833,50.24964618867102,215623.13967482426,277887.07380471216,21024.699534564887,13.600845645785597,93.83111511387705,68.05534239809492,2,5.4,13.8,13.1,77,0.932
GE,General Electric,Industrials,Manufacturing,United Kingdom,6749411131774.828,60.870562845243946,72.44158827317874,54.083741479935505,56.0863587826176,1,83.25988028563461,86.10538800290446,61.46076426707068,13022590.305769388,55238.82572850028,24952.70553922183,17.57010447274535,89.38371464954679,,0,5.4,13.8,13.1,77,0.932
MMM,3M Company,Industrials,Manufacturing,France,57956293607936.71,65.54569351188896,50.93563595728437,66.89627708129689,78.80516749708562,1,43.82311934858426,75.12294937476833,70.93230112306436,1471556.1582153093,13305.064880496238,18229.709446569108,26.024154792629837,75.61303269427981,75.3109974375507,0,4.6,11.7,31.5,69,0.903
HON,Honeywell International,Industrials,Aerospace,India,584555943327315.1,68.84853887743317,,69.4693021239783,68.44656210189709,1,46.10039792810866,57.36192728448686,54.23355744768597,293364.3071075095,33661.9037926301,21724.663128263666,7.179033540537874,23.21125129906048,76.53529800641086,0,1.9,9.8,24.1,40,0.645
UPS,United Parcel Service,Industrials,Construction,United States,21220655930646.387,56.322062304208174,,65.2064997447838,55.90267479653704,1,67.5871881027961,74.76217588956833,82.04142101946587,10460569.811860345,92085.34023595304,2923.57782119984,14.509369884954975,86.49092870426276,66.2535211939269,1,15.2,12.6,33.9,67,0.926
NEE,NextEra Energy,Utilities,Electric Utilities,United States,87239336332093.42,59.15836464069654,56.45114535834091,56.16941529996498,64.85453326378375,0,64.28360359539137,55.70452588270048,76.55563323981673,7950473.394275113,330931.4319685525,287576.9967876631,16.990733353975386,90.33545191480766,55.72359373157193,1,15.2,12.6,33.9,67,0.926
DUK,Duke Energy,Utilities,Water Utilities,India,8830230181133.18,61.9754531409205,56.60960834445975,67.31230421252737,62.00444686577437,1,59.749078269583066,74.08892341973144,78.39052048665556,88347.52519421441,346820.5972153612,24989.6765610655,13.88529914500928,71.32440324098762,62.982664421026215,0,1.9,9.8,24.1,40,0.645
SO,Southern Company,Utilities,Renewable Utilities,China,52757705216691.58,64.94419256030734,63.209657307863964,64.95800261347819,,4,48.98062371373919,57.75084649036764,89.21274162493012,83602255.84410071,103659.63945323238,26396.91033414272,17.74880321113234,72.97934611419899,61.41895077515504,2,7.4,12.4,23.0,42,0.768
D,Dominion Energy,Utilities,Water Utilities,United Kingdom,158866577778367.5,57.80584987318059,58.1796694200201,42.63800360290771,72.59987659661397,0,46.40745456745842,50.477648067706106,59.60939426550386,645330.4281165457,60601.186546823905,641831.8522058779,14.905808744222345,50.52343556244426,64.8806247274174,3,5.4,13.8,13.1,77,0.932
AEP,American Electric Power,Utilities,Water Utilities,Japan,47723177475104.625,65.81475739666932,70.87438079491845,61.82288396148714,64.74700743360236,0,70.39169812073857,59.67562514500748,59.1351427595326,2476211.2816386386,98936.36498471687,24422.988836582947,7.725432087667744,56.18715126603384,67.90202331226396,1,8.7,7.6,68.5,73,0.925
EXC,Exelon Corporation,Utilities,Renewable Utilities,United States,899168590373.0992,68.25323183195323,57.54383601909799,,79.70964704014989,1,63.125268608847804,79.23569025212024,85.23776493186371,9371287.00750902,35385.35146293724,17867.023570663692,18.87130363213176,63.41470221926939,67.80369216325062,0,15.2,12.6,33.9,67,0.926
COMP46,Utilities Company 46,Consumer Goods,Food & Beverage,United States,14928699987583.922,77.91834847469825,70.33342689087154,91.44493703642621,,1,31.913066173232522,77.94426249213622,71.23361253172604,7607432.822492272,85952.6087513823,50013.060202989516,7.234780986551575,,,1,15.2,12.6,33.9,67,0.926
COMP47,Consumer Goods Company 47,Real Estate,Other,United States,35219416245237.04,63.18630591358993,57.07254231378502,59.33046293170441,73.15591249528039,1,56.930838201585956,25.0,52.514810197816914,9870967.691412805,45004.722857583394,251284.89735351547,18.55487886701547,30.830979963257448,65.03778424297116,1,15.2,12.6,33.9,67,0.926
COMP48,Materials Company 48,Energy,Utilities,United States,194769878109931.5,62.72041097927104,53.58016571341817,54.44497306447737,80.13609415991756,4,44.375306095235686,63.44474415758695,62.44103365271711,722838.8321248975,17580.94466248067,,,51.13515575281569,69.98938939159432,3,15.2,12.6,33.9,67,0.926
COMP49,Energy Company 49,Energy,Oil & Gas,United Kingdom,11104912014126.805,60.81875558768545,54.282353039360345,60.18644834160968,67.98746538208634,1,67.05061394511294,34.17550116744506,65.16837927089612,7098014.68287649,33979.66637891395,43242.90770702352,21.04205276304839,61.74293553240543,62.9235571509043,0,5.4,13.8,13.1,77,0.932
COMP50,Utilities Company 50,Healthcare,Biotechnology,United States,59337534144040.87,66.85565506867353,63.227173160733166,73.927478002909,63.41231404237844,1,55.620343070654855,44.93253315521956,70.4934859784804,174153.53146725634,21536.241579929498,50037.81102711379,22.8361849730477,56.2117325503058,59.36530915000449,1,15.2,12.6,33.9,67,0.926
COMP51,Healthcare Company 51,Healthcare,Biotechnology,Japan,2696276228097.064,65.85718492808077,60.221614042121324,71.39797289777383,65.95196784434717,1,89.57954575366006,61.69108192429744,60.74368031846146,19495962.376634296,16839.13493048165,41606.94174602423,11.55263233175737,63.91000682656424,52.594423292407654,1,8.7,7.6,68.5,73,0.925
COMP52,Utilities Company 52,Energy,Energy Equipment,Japan,413095666613339.06,46.93748250544102,38.64750194371182,44.98717126028205,57.17777431232919,2,66.27434585262185,62.07062892466418,54.924803993156154,2115450.447792473,61879.68479289743,88432.91739594395,15.680373521414255,60.337842555065556,76.142762593112,1,8.7,7.6,68.5,73,0.925
COMP53,Materials Company 53,Consumer Goods,Retail,Australia,301811182564986.6,68.31092574658531,60.430646309709374,66.41024944543686,78.09188148460967,1,65.87872821663245,67.5260825341749,69.05361052881611,3572766.291176019,26744.56456279232,6557.827450828553,,46.09549332730127,82.70141036657292,2,16.8,7.1,16.2,75,0.951
COMP54,Energy Company 54,Materials,Other,United States,25131446431905.016,71.07596870634065,47.78144810065775,77.2661664831667,88.18029153519753,1,87.33982655390035,44.61962725390269,88.89470161680723,27587684.79334776,,39935.133510400774,19.097416559797747,50.63426116397125,51.62967305916048,0,15.2,12.6,33.9,67,0.926
COMP55,Consumer Goods Company 55,Industrials,Aerospace,Germany,23423951058094.21,63.743941891778405,57.117686431362976,57.60554237319779,76.50859687077445,1,79.91419046922988,48.88868926879619,59.06374412312415,365767.21460739116,669820.6015459261,,13.867778970461263,55.369041471412416,80.40589612150289,0,8.5,17.4,32.7,80,0.947
COMP56,Materials Company 56,Materials,Other,China,9655728191054.58,62.11767807093285,55.18959628390614,57.05027131764402,74.11316661124837,1,46.62812217691516,47.064699286080995,68.85551640690635,1748495.6465088467,142614.88804428856,111244.80716580813,,57.17438420624443,82.95193610387287,2,7.4,12.4,23.0,42,0.768
COMP57,Materials Company 57,Energy,Renewable Energy,China,131683286584766.38,61.56684609532996,45.97338749355658,53.62639758616709,85.10075320626619,3,60.669356155236535,47.5494341702898,69.16972400495116,1262620.6330126452,77147.12703821296,62078.54071723,14.50614739468656,49.67796268467126,59.0800584576003,2,7.4,12.4,23.0,42,0.768
COMP58,Healthcare Company 58,Materials,Other,Japan,3816971221093.6445,69.25530172877114,65.4427406238906,65.16326507366439,77.15989948875846,1,61.89341155837617,67.22204462551149,65.449992693737,1154022.5473509568,253626.25570486876,112642.05132647873,21.475366633350447,47.581067741793824,,3,8.7,7.6,68.5,73,0.925
COMP59,Industrials Company 59,Industrials,Aerospace,South Korea,11252313161211.285,66.41369007028986,62.86902862849523,,75.56258083546604,1,79.69688999461434,71.19390122111594,86.00807716622094,1331849.7981571844,765615.8654617302,92362.34021770465,14.83466820930853,37.24934027710388,,0,12.3,2.7,63.9,62,0.925
COMP60,Energy Company 60,Technology,Semiconductors,United Kingdom,10997447987121.32,70.08777724898901,62.31416588953859,65.557609715296,82.39155614213242,1,58.617799483187085,80.03489798700099,83.94087463128486,30792008.707776234,55401.42965129605,73625.02825029376,,,,3,5.4,13.8,13.1,77,0.932
COMP61,Financial Services Company 61,Industrials,Manufacturing,United States,87821951485960.11,57.59813065144914,62.79172104030742,44.42581388553364,65.57685702850635,0,75.75178826829075,51.29368663986796,49.91269328806392,6490992.914601364,160520.12507660035,109536.53711271673,19.813054753487187,52.69227424054846,56.73557251050198,0,15.2,12.6,33.9,67,0.926
COMP62,Materials Company 62,Consumer Goods,Consumer Electronics,Canada,141964447247137.44,62.4312202707297,63.16298944948532,60.49858264277379,63.63208871992997,3,72.12963796459478,65.7432248399541,75.7518199880822,,28552.027264281467,20544.923605507847,14.280762503079245,77.71071550026207,61.341147244969896,0,15.4,18.9,38.7,77,0.936
COMP63,Industrials Company 63,Technology,Hardware,United States,63788690700798.375,74.57825203882139,73.65279878958802,73.70848959751396,76.37346772936216,2,56.741971080866804,73.54761337468605,61.19833131051646,1699891.699751604,84228.21516183081,,12.529442152544707,68.3312817694724,71.83567367305213,2,15.2,12.6,33.9,67,0.926
COMP64,Financial Services Company 64,Utilities,Water Utilities,United Kingdom,16085853623185.088,64.8692169392,60.58478461769321,58.2055284800382,75.81733771986862,1,87.56601085626824,76.24197476149777,71.26362983710523,2899494.5895029376,945057.8035060605,49144.202995343316,18.7563051251726,64.79489265997897,55.028189044849725,1,5.4,13.8,13.1,77,0.932
COMP65,Energy Company 65,Utilities,Renewable Utilities,Canada,6521588566496722.0,65.73268668072076,57.52560939285388,,71.78144370879366,0,68.73486277042296,51.09602667063271,63.96667000918383,1158515.9648122354,260693.67510399333,51606.47788719862,18.17931352853539,30.288997134473295,64.76685977704881,2,15.4,18.9,38.7,77,0.936
COMP66,Technology Company 66,Technology,Semiconductors,United States,518005171114.47266,79.54569012251774,79.4399082375183,80.41768924765647,78.77947288237843,3,78.44191886367219,76.2318377652169,77.64741014829028,1003295.9062269027,399328.66398052877,36474.28056632726,12.981447079552893,50.06998647058158,61.36498094173554,2,15.2,12.6,33.9,67,0.926
COMP67,Industrials Company 67,Healthcare,Pharmaceuticals,United Kingdom,78125630116787.14,73.62104139512114,68.554159049407,,83.47526436027863,0,87.00811034001707,54.05759217484414,73.3763154650149,6958727.035970135,23304.813155901575,88141.85547934854,9.650546400367233,33.382979550995046,73.87086476178715,0,5.4,13.8,13.1,77,0.932
COMP68,Real Estate Company 68,Industrials,Aerospace,United States,180370836244.2469,66.02724627860374,64.88861373096779,,67.17757153091311,0,74.21733150377315,86.08615640893224,80.0679966725763,3576579.772604288,51392.99884850085,42965.62515967098,17.592902328864227,68.16572658800202,54.309325718148166,1,15.2,12.6,33.9,67,0.926
COMP69,Technology Company 69,Technology,Hardware,United States,13039828491214.53,71.40299825409214,69.04543276266881,65.68698097962127,79.47658101998634,2,58.61649781377388,61.18647888431649,89.22737039443264,1574311.1570918032,19202.964947297674,18896.11837335464,15.379932051608794,79.0338633881404,,1,15.2,12.6,33.9,67,0.926
COMP70,Healthcare Company 70,Consumer Goods,Food & Beverage,United States,77917621696036.89,68.56907354314737,57.51920965298541,72.96965337813945,75.21835759831723,0,69.2050086591599,53.5995991312858,82.50463382995467,5837489.619074094,35787.26646006643,52668.04371287888,14.107609955260132,60.403815888093625,73.0000011898796,1,15.2,12.6,33.9,67,0.926
COMP71,Utilities Company 71,Industrials,Aerospace,United States,62246701254570.3,68.99768513014193,49.72908894394744,70.81235580123047,86.45161064524791,0,61.975325013836766,66.98568312065443,58.10509412877106,5250720.011206707,1644448.5100241676,829241.7310937431,17.196837248504817,63.9195313044604,65.84479833405695,0,15.2,12.6,33.9,67,0.926
COMP72,Consumer Goods Company 72,Energy,Renewable Energy,India,330777793011537.6,58.15765719223176,35.22903266073003,68.8714784558987,70.37246046006653,1,59.87737708472247,58.77392282026962,70.34222235493864,862995.044586648,127562.36698951079,146736.59386254617,16.055398041547253,46.76332998896366,56.09579098986586,0,1.9,9.8,24.1,40,0.645
COMP73,Real Estate Company 73,Industrials,Transportation,United Kingdom,442643666404093.3,61.83878598482661,53.60229386993616,63.28621697597542,68.62784710856822,1,73.67865841329623,51.74024373524763,69.96272083187053,1336474.7500876242,10548.992610029718,,19.209121358996263,76.88736924110843,83.9247982796119,1,5.4,13.8,13.1,77,0.932
COMP74,Healthcare Company 74,Financial Services,Banking,United States,37969337215866.586,63.66708640348861,63.644874497143725,61.07718585990505,66.27919885341704,1,63.86461472143614,66.99494976722369,54.01128607439649,562251.2051978089,23238.72723412131,22315.691333524013,12.957651123715832,,69.59308377576605,1,15.2,12.6,33.9,67,0.926
COMP75,Energy Company 75,Real Estate,Other,France,34306511260376.21,52.37420562329057,55.35359925208598,47.14306600764695,54.62595161013877,1,70.94895690918665,61.031498976399966,74.63263057318224,10596948.929592649,131669.08299155766,7580.081836339491,21.30527927365842,58.82849943937392,63.784661555362234,0,4.6,11.7,31.5,69,0.903
COMP76,Healthcare Company 76,Technology,Software,China,3183870338983.4707,77.06087067636832,77.87786619055741,68.02185131162831,85.28289452691924,2,62.47076212945066,76.39683935701022,67.1304030611484,2397689.701844909,44282.91671986206,1535494.4139954539,8.030546111328945,55.21175870274303,76.50200084862288,1,7.4,12.4,23.0,42,0.768
COMP77,Utilities Company 77,Technology,Semiconductors,United States,701658933387595.2,73.89713455096721,78.9316974108786,66.18687453653855,76.57283170548449,1,50.68578759443078,70.70999036020729,65.37989274495158,28599404.650751133,,9677.137578132404,24.041637341535356,44.919511064200904,48.22498561716659,2,15.2,12.6,33.9,67,0.926
COMP78,Energy Company 78,Healthcare,Healthcare Services,United States,2065719439435884.0,71.8965414268413,68.4306524149396,83.3984899158936,63.86048194969066,0,75.28586050142127,56.729035908539046,79.99970283141712,20866075.365736593,472156.2697437901,30166.409048827718,13.402116285811854,,67.35564243344008,0,15.2,12.6,33.9,67,0.926
COMP79,Real Estate Company 79,Energy,Oil & Gas,United Kingdom,67171722516586.17,51.01442875997816,44.29280066564741,55.69793150256488,53.05255411172219,3,63.44464488602113,67.16049958697012,65.31053653975712,7569941.552057334,68112.67512483406,1457350.4268500402,15.495604131992849,,58.561540215101324,2,5.4,13.8,13.1,77,0.932
COMP80,Utilities Company 80,Technology,Software,India,26620277162639.28,68.73826512148361,66.01204476771181,68.5425134636022,71.66023713313682,2,58.892717737171715,78.46193242936052,74.06228507388585,6528926.733302632,63882.14170169172,10293.29914720982,11.77708970404738,65.89550542928242,66.39588694703268,1,1.9,9.8,24.1,40,0.645
COMP81,Financial Services Company 81,Consumer Goods,Retail,Japan,3666990764178.8374,57.779766156074636,54.31681581064647,62.48770510586868,56.53477755170877,4,94.67549436329915,67.86288194931107,66.28846848623915,4538410.24618846,530766.719137778,,14.564367308209864,67.5360119886028,53.53888183841661,1,8.7,7.6,68.5,73,0.925
COMP82,Consumer Goods Company 82,Industrials,Aerospace,United States,49068093144282.49,60.18533400388625,59.76260046134188,59.299619796461045,61.49378175385583,2,63.56941728224178,59.737709175685566,95.0,2214018.056594063,141356.41257289154,43010.92259558439,12.255517430781204,94.52741541679904,80.05262051843735,3,15.2,12.6,33.9,67,0.926
COMP83,Real Estate Company 83,Consumer Goods,Food & Beverage,United States,579159448723564.8,65.59068567094748,67.97615769265416,57.47433659256864,71.32156272761965,0,47.818624132328466,62.42167491903069,62.36831779151355,980899.9567178873,264341.12200119556,7454.659824610967,21.482017027276243,60.361606459445376,50.96651375306495,1,15.2,12.6,33.9,67,0.926
COMP84,Financial Services Company 84,Consumer Goods,Consumer Electronics,United States,7755807919323.261,63.85942883292856,63.512466330562425,62.06911224989935,65.99670791832389,1,86.38718133639573,67.48020307737076,66.08352061119456,2151203.6941659474,80713.96822652391,37697.527091016214,19.46802585201212,53.99215629176676,65.37814642575852,0,15.2,12.6,33.9,67,0.926
COMP85,Real Estate Company 85,Materials,Other,United States,2952964587402.872,68.35699549914278,70.11532689481504,66.48794218451357,68.46771741809974,0,78.46405109248668,30.47167952847805,57.463553731124925,9611527.020612027,99918.45471070171,103827.16936832246,3.0,76.70881170082963,65.6747097681166,2,15.2,12.6,33.9,67,0.926
